zip,dollars,timestamp,date,city,state,latitude,longitude
02905,100,"",2014-05-01,Providence,RI,41.7845,-71.3959
98121,100,"",2014-05-01,Seattle,WA,47.6151,-122.3447
11367,25,"",2014-05-01,Flushing,NY,40.728,-73.8195
11218,25,"",2014-05-01,Brooklyn,NY,40.6424,-73.9758
02148,25,"",2014-05-01,Malden,MA,42.4291,-71.0605
78730,100,"",2014-05-01,Austin,TX,30.3607,-97.8241
32771,20,"",2014-05-01,Sanford,FL,28.8013,-81.285
10075,500,"",2014-05-01,New York,NY,40.773,-73.9566
84102,25,"",2014-05-01,Salt Lake City,UT,40.76,-111.8627
45211,10,"",2014-05-01,Cincinnati,OH,39.1524,-84.5967
"",250,"",2014-05-01,Cambridge, ,,
02420,10,"",2014-05-01,Lexington,MA,42.4563,-71.2166
15212,50,"",2014-05-01,Pittsburgh,PA,40.4282,-80.075
